,sector,review_count,sentiment_unsafe,sentiment_crime,sentiment_positive,sentiment_sum,area,crime_count
0,BR11,150,-0.0004514940847330832,-0.003947297263821452,-0.033874857726380464,-0.03827364907493501,396566.05243484303,6135.0
1,BR12,164,-0.0006994230743256426,-0.004366658785394488,-0.03175485390837038,-0.03682093576809049,3951349.962207836,1751.0
2,BR13,125,-0.0009536881026523907,-0.0067548319632311634,-0.030874682878425076,-0.03858320294430863,2855824.2972030286,2937.0
3,BR14,134,-0.0003062525931289308,-0.005600798344697411,-0.04321179220227797,-0.049118843140104326,2745135.215798778,4751.0
4,BR33,60,-0.0009256754566524581,-0.0032287339112773965,-0.04408506457286939,-0.048239473940799235,4884742.679172212,3224.0
5,BR60,22,0.00010915010915010918,-0.003324675324675325,-0.06043962478092471,-0.06365514999644993,2526806.188714066,3651.0
6,BR75,52,-0.00024966632829536047,-0.0046964912778340185,-0.049603301460997076,-0.05454945906712646,4604994.31823078,1586.0
7,BR76,97,0.0006573930397363363,-0.0026083958195250753,-0.05091780070528082,-0.052868803485069574,6303514.177016567,2486.0
8,CR01,290,-0.00039224005315363213,-0.004090303333693282,-0.0346018974060203,-0.03908444079286719,1220837.9395847768,12523.0
9,CR02,401,0.0005852616679027514,-0.0037389143568983957,-0.042938021883470526,-0.04609167457246615,2176439.4661764875,11353.0
10,CR04,150,-0.00016483792208956788,-0.003367785158468789,-0.04057729950222132,-0.04410992258277967,5599565.063504629,8183.0
11,CR05,236,-0.00035993687574889646,-0.003652663271441965,-0.04670818039048801,-0.050720780537678874,7465924.199036578,2441.0
12,CR09,127,0.00022876522794236024,-0.004626278795013627,-0.05170103339463442,-0.056098546961705686,3812672.122287107,1943.0
13,CR26,65,-0.002312326852575514,-0.005676035706512964,-0.025721169185236335,-0.03370953174432481,2270288.9435937977,3467.0
14,CR27,81,6.255695464959065e-05,-0.0030129154769378947,-0.024978819545721172,-0.027929178068009482,2646667.431111488,1046.0
15,CR28,130,-0.0011636577416523635,-0.005797703484280631,-0.03383304086427369,-0.04079440209020668,5093280.769926219,2042.0
16,CR52,140,-0.000789553907937881,-0.0045276957635948635,-0.038341098949752614,-0.04365834862128536,4217547.532788927,2139.0
17,CR76,173,0.0003291574139242109,-0.006394863718467895,-0.036728800204258734,-0.04279450650880241,994794.9246424134,3254.0
20,DA146,133,0.00030091825677437196,-0.004178990718201978,-0.036578167085585235,-0.04045623954701284,2063675.991798431,2955.0
21,DA157,49,0.0015939162877938388,-0.0014914530044720052,-0.047941934343152234,-0.04783947105983039,1007189.0706887792,1046.0
22,DA51,140,0.0005411022188571777,-0.0045212624119354665,-0.042045026550579845,-0.04602518674365814,2178127.9741224656,1567.0
23,DA67,232,0.00019343331971907903,-0.0031955172935782417,-0.04187452466930659,-0.044876608643165776,1310798.7655641397,3644.0
24,E10,109,-0.00022160256773304503,-0.003870911322092114,-0.058140846339288725,-0.062233360229113875,606628.4499948603,4189.0
25,E107,123,0.001030956133166639,-0.0022383205237361237,-0.045285279264304645,-0.046492643654874155,1798851.745612472,4997.0
26,E11,249,0.0005530146442454148,-0.004186429646506203,-0.048927506268171356,-0.05256092127043215,351488.08455384435,4190.0
27,E111,144,3.3951711676713364e-05,-0.005000421130801113,-0.039176955046733256,-0.04414342446585765,2371329.048823614,4469.0
28,E12,140,0.00015710441645457564,-0.005363211921189425,-0.048081067030773944,-0.05328717453550878,463401.8606121258,5455.0
29,E126,138,0.002990435957657563,-0.00461862147265068,-0.03961758608549713,-0.04124577160049025,1678521.7636492192,6377.0
30,E13,1,0.0,0.0,-0.08,-0.08,424641.724285924,2111.0
31,E139,146,0.002300069556310348,-0.007191404975795623,-0.03973753399841527,-0.04462886941790053,972970.2155927949,4999.0
32,E142,121,-0.0009899736660854898,-0.004441189295056831,-0.03711989336604029,-0.042551056327182625,231198.2070083425,358.0
33,E144,322,0.00029764177241738224,-0.006400244635329817,-0.03970713063477484,-0.045809733497687286,222434.45989864648,1416.0
34,E145,140,0.00043794229828418194,-0.004281302461137651,-0.03750162708987008,-0.041344987252723564,456394.38074168033,1467.0
35,E148,180,0.00024252677652382928,-0.005953367581337276,-0.04645624145961617,-0.05216708226442961,775006.25140822,4647.0
36,E149,485,0.00048082772833746404,-0.005944260673697546,-0.04380918792336882,-0.04927262086872883,1251422.7519183424,4642.0
37,E152,375,0.0008454332105674308,-0.0030691586807654776,-0.04669482341385418,-0.04891854888405225,3224684.804639829,14017.0
38,E154,354,-5.913624761918389e-05,-0.004550077460784563,-0.035428106929411445,-0.04003732063781519,1073537.373237847,6462.0
39,E16,718,0.0009239968861768742,-0.00430903656269447,-0.04962985026089602,-0.05301488993741365,395067.99617176165,6912.0
40,E161,1072,0.0001837343359422743,-0.0037491912812236735,-0.04661999650487961,-0.050185453450160976,2003253.3881488086,5470.0
41,E162,526,0.000734954801253822,-0.0035832023802014616,-0.04042298707165088,-0.04327123465059851,3621172.3084793263,3874.0
42,E163,275,0.001353340290621424,-0.0037994865075079,-0.04382855048409653,-0.04627469670098299,1439037.429333851,4231.0
43,E17,140,0.0005442458193509961,-0.0037900499578095975,-0.034947651601427134,-0.03819345573988572,154928.34907453408,2781.0
44,E177,27,-0.001668769685572537,-0.00030864197530864197,-0.027330307457175265,-0.029307719118056446,2410720.8347199396,8186.0
45,E179,140,0.0015160480712632114,-0.0034474658223325617,-0.04230592855356473,-0.044237346304634086,1097840.4641670359,4650.0
46,E18,669,0.000837538523535851,-0.0038949345981196624,-0.04817006274924408,-0.05122745882382788,353383.6734662151,3492.0
47,E182,40,0.0019096032061404942,-0.0077475579551454414,-0.036155494803722,-0.04199344955272694,1624614.5164323626,2767.0
48,E1W1,130,-2.376101103451483e-05,-0.005192747435878059,-0.04120604224529102,-0.04642255069220361,264795.61891236855,1152.0
49,E1W3,130,0.0014954877985762847,-0.002788234982874324,-0.04200068870042564,-0.04329343588472367,444527.3995670171,1734.0
50,E20,116,-0.0002235404021586433,-0.00393735748135357,-0.04348182098440291,-0.04764271886791513,646750.8833645184,5446.0
52,E27,61,0.0006414840453803769,-0.003508672491009947,-0.05462756409074756,-0.0574947525363771,474338.9621798026,6341.0
53,E28,129,-0.00038674932577879547,-0.003441144126070641,-0.043549482920540276,-0.047377376372389715,599772.817320097,4490.0
54,E29,130,-0.00024991312504175363,-0.00310120377502966,-0.04086797380639274,-0.044219090706464154,608295.8562079602,5629.0
55,E33,57,-0.0018339193160953609,-0.004594582798835946,-0.02779832195808768,-0.03422682407301898,1492942.9266552287,5309.0
56,E46,45,0.0003407590607493728,-0.005034663014888249,-0.04470450246090611,-0.04939840641504499,3183142.108024737,3504.0
57,E47,88,0.0007268135754491859,-0.002459270507299273,-0.05181836473262162,-0.05355082166447171,9816538.442816151,3182.0
58,E48,150,-0.0011142754284577303,-0.004443441051974713,-0.04368868971806425,-0.0492464061984967,2689778.777509578,6484.0
59,E63,1,-0.0196078431372549,0.0,-0.0196078431372549,-0.0392156862745098,1571872.888995454,4965.0
60,E65,140,0.001019032712641082,-0.004433685738759994,-0.04353743839020149,-0.04695209141632038,1719938.0604150773,3897.0
61,E78,132,-0.0011786241017672726,-0.0055910920860265684,-0.022346074194736634,-0.02911579038253047,1211316.3006341085,6070.0
62,E79,50,0.004410277509300174,-0.004708633245261604,-0.04475600767620901,-0.04505436341217044,1206226.4205344918,6780.0
63,E81,193,0.0013572794492970005,-0.00558659612978103,-0.04238876705354667,-0.04661808373403071,586765.5918440968,6536.0
64,E83,225,-0.001100359903274976,-0.0027690277292824767,-0.045869405808563,-0.049738793441120456,855979.8987910163,6590.0
65,E95,16,-0.0031041714265385278,-0.004485394997553022,-0.025696267348212242,-0.03328583377230379,2612118.0609496385,4648.0
66,EC1M5,130,0.0010584913361414104,-0.0028294112482816435,-0.05351883203227887,-0.05528975194441911,65339.221882507954,297.0
67,EC1M6,270,0.00010365084297032348,-0.004148903968026286,-0.04540117891067274,-0.04944643203572871,82317.81702234992,755.0
69,EC1R4,86,-0.00027911733088215404,-0.006007737807936058,-0.03929488890909012,-0.04558174404790834,110072.34196588234,1017.0
70,EC1R5,28,0.00037697321919421975,-0.004375583675052132,-0.05017059723596877,-0.05416920769182667,46805.63342776981,490.0
71,EC1V1,130,-0.0006407022064420017,-0.0046188935172800346,-0.0430521953965076,-0.04831179112022964,87119.76980283576,800.0
72,EC1V2,270,0.0008661187930388792,-0.00513073597721537,-0.048133683531942785,-0.05239830071611927,68255.2697964642,618.0
73,EC1V4,50,-0.0007036521540271706,-0.002896203158869984,-0.04149569157094282,-0.04509554688383997,108830.81620115257,1383.0
74,EC1V8,128,-0.0004197060508110809,-0.0032351065261285524,-0.046150134254993404,-0.04980494683193304,95932.11452813643,832.0
75,EC1V9,168,-0.0002636760392704375,-0.004120500270641599,-0.03778690581701628,-0.042171082126928314,150576.02594670551,4232.0
76,EC1Y1,127,-0.0004923663927229744,-0.004605743449497873,-0.04280460064274083,-0.047902710484961676,19805.59071777341,157.0
77,EC1Y4,280,0.0005567729805654621,-0.004836003441173031,-0.04067569908750592,-0.044954929548113504,27602.00055287173,181.0
78,EC2A1,8,0.0010144076545211423,-0.0065623393209600115,-0.06408132118139301,-0.06962925284783186,39585.35067653953,397.0
79,EC2A3,165,0.0001894859445735465,-0.004980339281838011,-0.0550348332379514,-0.05982568657521584,140121.37101605433,3163.0
80,EC2M2,130,0.0007565651773785001,-0.003902577193419535,-0.04777875224328371,-0.05092476425932475,61422.9510363338,84.0
81,EC2M4,170,0.0017137196806430717,-0.0033035461685659152,-0.044122474406630294,-0.04571230089455312,59235.16126048349,660.0
82,EC2M7,108,0.00014670863665492716,-0.0037732801460018087,-0.044655968938227986,-0.04828254044757484,68832.78208001822,86.0
83,EC2R7,139,-1.1882605158518082e-05,-0.004522462067105899,-0.049205290749224764,-0.05373963542148919,33476.90480468902,12.0
84,EC2R8,130,0.0006559817298329017,-0.0065314567047959,-0.04268620479756112,-0.04856167977252412,47771.50524905225,55.0
85,EC3N1,386,0.00046579320923568107,-0.003594901863668007,-0.05259923979170031,-0.055728348446132614,67958.6209858782,397.0
86,EC3N2,260,0.0004858523734990071,-0.005822599015459657,-0.04793025245953862,-0.05326699910149929,41084.85277517147,36.0
87,EC3N4,374,7.288349443870314e-06,-0.004725082617450939,-0.0564553631114759,-0.061173157379482986,162785.9153070665,682.0
88,EC3R5,140,0.0008008806573285334,-0.004265982937023292,-0.04505796756747993,-0.04852306984717467,33181.058780484345,136.0
89,EC3R8,130,-0.00010028952764374825,-0.003002755052999665,-0.04792276735250209,-0.05102581193314551,31181.860700465848,7.0
90,EC3V0,130,-6.54867986474021e-07,-0.006496026290565766,-0.04602487552223499,-0.052521556680787215,19820.803672378755,13.0
91,EC4M7,138,-0.0009796228164127895,-0.003616103468493267,-0.05570525358980345,-0.060300979874709504,87131.08312005698,44.0
92,EC4M9,4,-0.004716981132075472,-0.00423728813559322,-0.02212012883183334,-0.03107439809950203,33756.85087174031,21.0
93,EC4N8,140,0.00022883104689818825,-0.0031390516826963286,-0.035653797992254474,-0.03856401862805262,22547.690914386232,8.0
94,EC4V5,129,0.0007494412464819963,-0.0062504330074611035,-0.05073654284536023,-0.056237534606339325,41468.27138212443,10.0
95,EC4V6,129,-4.1218392995288585e-05,-0.004273940756683002,-0.050870598459636304,-0.05518575760931462,29629.842055437966,7.0
97,EC4Y8,129,0.0008833399015722082,-0.003004071712440621,-0.05308984731649933,-0.055210579127367765,35801.73258610181,14.0
98,EN11,140,-0.000569636210186149,-0.002891191798090155,-0.03502861128881728,-0.038489439297093586,2061074.1422376481,5175.0
99,EN12,44,-0.0008744648693629515,-0.006089571441402083,-0.020037053573291885,-0.02700108988405692,1252050.6308980675,1486.0
100,EN20,50,0.0008152519231121402,-0.004755027225116798,-0.029605118304852268,-0.03354489360685693,1574322.3267341848,2327.0
101,EN28,139,0.000204836345085644,-0.0062653757638768985,-0.0454922378065889,-0.051552777225380174,9345866.734461917,1844.0
102,EN37,150,0.0012383762624749892,-0.0022698863602080175,-0.05044670703274421,-0.05147821713047724,5273088.692195641,3747.0
103,EN40,130,-0.0003887057657009354,-0.0044835164096001575,-0.03592341655806251,-0.0407956387333636,9098933.69572021,1166.0
104,HA11,144,0.0002188084551177616,-0.006822517558337744,-0.03101261307053943,-0.03761632217375941,910823.382118966,7335.0
105,HA20,89,0.003402910718601086,-0.003583974793091212,-0.038034897880061966,-0.03821596195455209,1547246.1606743422,3276.0
106,HA36,135,-0.00044014538161188523,-0.005428183606107706,-0.040525385647056135,-0.0463937146347757,3957599.7783692717,2623.0
107,HA38,130,0.0013368923200817353,-0.0033713144376586587,-0.04264203906408637,-0.04467646118166328,1981495.1897620955,2352.0
108,HA46,139,0.0005815289707104715,-0.004026102358265336,-0.03394112444921772,-0.03738569783677259,5469613.05658483,2000.0
109,HA47,145,0.0010831990625373028,-0.0040009125195709155,-0.04880521115176523,-0.05172292460879883,4350536.816043253,2971.0
110,HA48,140,0.0016460632799530487,-0.0035155781501515645,-0.04686130363115094,-0.04873081850134947,1842372.3953172527,2077.0
111,HA52,149,-0.0004271672224894326,-0.005384782854640085,-0.03227541153332424,-0.03808736161045375,2907969.0980443214,1825.0
112,HA85,129,-9.121599565422815e-06,-0.0025911468706854017,-0.04232444106983604,-0.044924709540086864,1309510.4682094043,3563.0
113,HA86,49,-0.0011218658072797408,-0.004818594536657819,-0.027958791505427114,-0.033899251849364674,1752107.842866463,3172.0
114,HA90,405,0.0006908848037014758,-0.005230826394262621,-0.042869859692204144,-0.047409801282765326,972316.6569370384,2648.0
115,HA96,126,0.0003406330183210627,-0.0030210061783066465,-0.04516020392468646,-0.04784057708467204,1299192.886635026,2397.0
